podkin_drova,timestamps,temp
True,1543021907017,109.02
True,1543021908104,109.0
True,1543021909056,108.96
True,1543021909817,108.98
True,1543021910803,108.98
True,1543021911803,108.97
True,1543021913208,108.97
True,1543021914226,108.95
True,1543021914815,108.95
True,1543021915805,108.96
True,1543021916805,108.95
True,1543021917908,108.97
True,1543021919307,108.96
True,1543021919907,108.98
True,1543021920817,108.92
True,1543021921820,108.92
True,1543021922801,108.91
True,1543021924002,108.95
True,1543021924802,108.96
True,1543021925805,108.99
True,1543021926801,108.97
True,1543021927801,109.02
True,1543021928904,109.03
True,1543021930107,109.01
True,1543021930905,109.0
True,1543021931815,108.99
